                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.25555,                0.45226,                0.22082,                0.83931,                0.99894,                0.96429,                0.97403,                0.96424,                0.99894,                0.96429,                0.97403,                0.92853,                0.16938,                0.33395,                0.17806,                0.78127,               0.000515,               0.000515,               0.000515
                     77,                0.24851,                0.43025,                0.20755,                0.83764,                0.99771,                0.96429,                0.97543,                0.96545,                0.99771,                0.96429,                0.97543,                0.91641,                0.15131,                0.35701,                0.16031,                0.77548,              0.0004952,              0.0004952,              0.0004952
                     78,                0.26208,                0.41852,                 0.2209,                0.85243,                      1,                0.96251,                0.97394,                0.96405,                      1,                0.96251,                0.97394,                0.92002,                0.16427,                0.33034,                0.16846,                0.77838,              0.0004754,              0.0004754,              0.0004754
                     79,                0.24878,                0.38582,                0.20511,                0.83883,                0.99825,                0.96429,                0.97412,                0.96332,                0.99825,                0.96429,                0.97412,                0.92368,                0.17549,                0.31633,                0.16765,                0.77959,              0.0004556,              0.0004556,              0.0004556
                     80,                0.24422,                0.39129,                0.20495,                0.83284,                  0.996,                0.96429,                0.97253,                0.96268,                  0.996,                0.96429,                0.97253,                0.91487,                0.16855,                0.33567,                0.15977,                0.77799,              0.0004358,              0.0004358,              0.0004358
                     81,                0.25078,                0.42162,                0.20378,                0.83992,                0.99907,                0.96429,                0.97299,                0.96121,                0.99907,                0.96429,                0.97299,                0.92495,                0.15133,                0.31174,                0.15774,                0.77848,               0.000416,               0.000416,               0.000416
                     82,                0.24938,                0.40984,                0.20564,                0.84205,                0.99944,                0.96429,                0.97238,                0.96058,                0.99944,                0.96429,                0.97238,                0.91705,                 0.1584,                0.34118,                0.17081,                0.78324,              0.0003962,              0.0003962,              0.0003962
                     83,                0.22951,                0.37944,                0.19838,                 0.8279,                0.99944,                0.96429,                0.97481,                0.96304,                0.99944,                0.96429,                0.97481,                0.92815,                0.16453,                0.31315,                0.16921,                0.78209,              0.0003764,              0.0003764,              0.0003764
                     84,                0.24822,                0.39524,                0.21246,                0.84792,                0.99908,                0.96429,                0.97543,                0.96449,                0.99908,                0.96429,                0.97543,                0.93696,                0.16571,                0.32014,                0.17397,                0.78082,              0.0003566,              0.0003566,              0.0003566
                     85,                0.22926,                 0.3935,                0.19872,                0.83721,                0.99929,                0.96429,                0.97486,                0.96578,                0.99929,                0.96429,                0.97486,                0.93711,                0.16173,                0.30734,                0.17015,                0.77951,              0.0003368,              0.0003368,              0.0003368
                     86,                0.24554,                0.39191,                0.21544,                0.84671,                 0.9971,                0.96429,                0.97217,                0.96266,                 0.9971,                0.96429,                0.97217,                0.91722,                0.16045,                0.33984,                0.17028,                0.78082,               0.000317,               0.000317,               0.000317
                     87,                0.23472,                0.39735,                0.20343,                0.84018,                0.99931,                0.96429,                 0.9762,                0.96516,                0.99931,                0.96429,                 0.9762,                0.93358,                0.15701,                0.32188,                0.16168,                0.77878,              0.0002972,              0.0002972,              0.0002972
                     88,                0.23576,                0.38497,                0.20539,                0.83837,                0.99909,                0.96429,                0.97486,                0.96371,                0.99909,                0.96429,                0.97486,                0.92084,                 0.1484,                0.31558,                0.16221,                0.77772,              0.0002774,              0.0002774,              0.0002774
                     89,                0.22726,                0.36722,                0.19591,                0.83174,                0.99913,                0.96429,                0.97344,                0.96154,                0.99913,                0.96429,                0.97344,                0.92645,                0.15717,                0.31643,                0.15103,                0.77835,              0.0002576,              0.0002576,              0.0002576
                     90,                0.23767,                0.40512,                0.21363,                0.84159,                0.99885,                0.96429,                0.97289,                0.96092,                0.99885,                0.96429,                0.97289,                0.91657,                0.16107,                0.32346,                0.16932,                0.77999,              0.0002378,              0.0002378,              0.0002378
                     91,                0.17464,                0.29049,                0.16006,                0.78637,                0.99928,                0.96429,                0.97206,                 0.9595,                0.99928,                0.96429,                0.97206,                0.92277,                0.15284,                0.32111,                0.17126,                 0.7799,               0.000218,               0.000218,               0.000218
                     92,                 0.1746,                0.29073,                0.15086,                0.78505,                0.99812,                0.96429,                0.97292,                0.96164,                0.99812,                0.96429,                0.97292,                0.91772,                0.15322,                0.32345,                0.17068,                0.77985,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.1661,                0.28206,                 0.1501,                0.79022,                0.99901,                0.96429,                0.97445,                0.96509,                0.99901,                0.96429,                0.97445,                0.93435,                0.14688,                0.30954,                0.16757,                0.77937,              0.0001784,              0.0001784,              0.0001784
                     94,                0.16424,                0.28806,                0.14951,                0.78354,                0.99787,                0.96429,                0.97686,                0.96831,                0.99787,                0.96429,                0.97686,                0.93181,                0.15164,                0.31417,                0.17211,                0.77968,              0.0001586,              0.0001586,              0.0001586
                     95,                0.15761,                0.27834,                 0.1463,                0.77194,                0.99937,                0.96429,                0.97702,                0.96671,                0.99937,                0.96429,                0.97702,                0.93098,                0.15294,                0.31133,                0.16361,                0.78037,              0.0001388,              0.0001388,              0.0001388
                     96,                0.15752,                 0.2749,                0.14203,                0.77492,                0.99947,                0.96429,                 0.9762,                0.96714,                0.99947,                0.96429,                 0.9762,                0.93617,                0.15081,                0.30985,                0.16305,                0.77884,               0.000119,               0.000119,               0.000119
                     97,                0.15422,                0.27849,                 0.1386,                0.77798,                0.99926,                0.96429,                0.97508,                0.96646,                0.99926,                0.96429,                0.97508,                0.92895,                 0.1405,                0.31487,                0.15499,                0.77739,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.14932,                0.27438,                0.13363,                0.77779,                0.99885,                0.96429,                0.97537,                0.96552,                0.99885,                0.96429,                0.97537,                0.93153,                0.14168,                0.30861,                0.15114,                0.77705,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.15074,                0.27745,                0.13358,                0.77862,                0.99897,                0.96429,                0.97561,                0.96542,                0.99897,                0.96429,                0.97561,                0.92936,                0.14471,                0.30903,                 0.1518,                0.77703,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.14553,                0.27736,                0.12991,                0.78125,                0.99895,                0.96429,                0.97519,                0.96544,                0.99895,                0.96429,                0.97519,                0.93232,                0.14066,                0.30722,                0.15032,                0.77703,               3.98e-05,               3.98e-05,               3.98e-05
